Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Coder ID,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
CEBUS-02-R11__2022-01-10__17-50-52,2025-08-27 20:34:26,corrected by LR,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,0.0,14.247,60.894,29.970,MC,TER,0.0,seqstart,Sequence info,Other,,,,POINT,2.336,2.336,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,70,70,,,FRE as anvil. snail,
CEBUS-02-R11__2022-01-10__17-50-52,2025-08-27 20:34:26,corrected by LR,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,0.0,14.247,60.894,29.970,MC,TER,0.0,hammerstone,Sequence info,onanvil,None,e_onanvil,,POINT,2.502,2.502,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,75,75,,,BAM,
CEBUS-02-R11__2022-01-10__17-50-52,2025-08-27 20:34:26,corrected by LR,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,0.0,14.247,60.894,29.970,MC,TER,0.0,pound,Behavior,crouch,1hand,None,,POINT,2.603,2.603,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,78,78,,,,
CEBUS-02-R11__2022-01-10__17-50-52,2025-08-27 20:34:26,corrected by LR,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,0.0,14.247,60.894,29.970,MC,TER,0.0,misstrike,Behavior,itemflies,,,,POINT,2.703,2.703,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,81,81,,,,
CEBUS-02-R11__2022-01-10__17-50-52,2025-08-27 20:34:26,corrected by LR,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,0.0,14.247,60.894,29.970,MC,TER,0.0,pound,Behavior,crouch,1hand,None,,POINT,10.477,10.477,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,314,314,,,,
CEBUS-02-R11__2022-01-10__17-50-52,2025-08-27 20:34:26,corrected by LR,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,0.0,14.247,60.894,29.970,MC,TER,0.0,pound,Behavior,crouch,1hand,None,,POINT,12.613,12.613,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,378,378,,,,
CEBUS-02-R11__2022-01-10__17-50-52,2025-08-27 20:34:26,corrected by LR,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,0.0,14.247,60.894,29.970,MC,TER,0.0,pound,Behavior,crouch,1hand,None,,POINT,14.348,14.348,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,430,430,,,,
CEBUS-02-R11__2022-01-10__17-50-52,2025-08-27 20:34:26,corrected by LR,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,0.0,14.247,60.894,29.970,MC,TER,0.0,seqend,Sequence info,opened,noscrounging,nodisplacement,noattention,POINT,16.583,16.583,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,500,500,,,,
CEBUS-02-R11__2022-01-12__08-17-35,2025-08-27 20:52:08,corrected by LR,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-12__08-17-35.MP4,0.0,36.357,60.727,29.970,MC,juvenileunknown,0.0,seqstart,Sequence info,almendrabrown,,,,POINT,24.358,24.358,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-12__08-17-35.MP4,730,730,,,check ID,
CEBUS-02-R11__2022-01-12__08-17-35,2025-08-27 20:52:08,corrected by LR,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-12__08-17-35.MP4,0.0,36.357,60.727,29.970,MC,juvenileunknown,0.0,hammerstone,Sequence info,onanvil,None,e_onanvil,,POINT,28.161,28.161,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-12__08-17-35.MP4,844,844,,,WIL,
