Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Coder ID,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
EXP-ANV-01-R11__2022-01-11__18-24-29,2023-01-30 10:02:03,corrected by LR,Media file,player #1:Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-01-11__18-24-29.MP4,0.0,7.158,60.894,29.970,MKWC,TER,0.0,seqstart,Sequence info,Unknown,,,,POINT,8.991,8.991,NA,Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-01-11__18-24-29.MP4,NA,NA,,,snail?,
EXP-ANV-01-R11__2022-01-11__18-24-29,2023-01-30 10:02:03,corrected by LR,Media file,player #1:Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-01-11__18-24-29.MP4,0.0,7.158,60.894,29.970,MKWC,TER,0.0,hammerstone,Sequence info,onanvil,None,3,e_offanvilreach,POINT,10.993,10.993,NA,Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-01-11__18-24-29.MP4,NA,NA,,,BCH ( big chunk ),
EXP-ANV-01-R11__2022-01-11__18-24-29,2023-01-30 10:02:03,corrected by LR,Media file,player #1:Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-01-11__18-24-29.MP4,0.0,7.158,60.894,29.970,MKWC,TER,0.0,pound,Behavior,crouch,None,None,,POINT,11.447,11.447,NA,Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-01-11__18-24-29.MP4,NA,NA,,,,
EXP-ANV-01-R11__2022-01-11__18-24-29,2023-01-30 10:02:03,corrected by LR,Media file,player #1:Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-01-11__18-24-29.MP4,0.0,7.158,60.894,29.970,MKWC,TER,0.0,seqend,Sequence info,opened,noscrounging,nodisplacement,noattention,POINT,16.149,16.149,NA,Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-01-11__18-24-29.MP4,484,484,,,,
EXP-ANV-01-R11__2022-03-06__06-57-49,2023-01-30 10:18:23,corrected by LR,Media file,player #1:Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,0.0,24.129,60.861,29.970,MKWC,PEA,0.0,seqstart,Sequence info,Other,,,,POINT,0.182,0.182,NA,Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,NA,NA,,,"face-shot, snail",
EXP-ANV-01-R11__2022-03-06__06-57-49,2023-01-30 10:18:23,corrected by LR,Media file,player #1:Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,0.0,24.129,60.861,29.970,MKWC,PEA,0.0,hammerstone,Sequence info,onanvil,None,3,e_offanvilwalk,POINT,0.656,0.656,NA,Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,NA,NA,,,LCH,
EXP-ANV-01-R11__2022-03-06__06-57-49,2023-01-30 10:18:23,corrected by LR,Media file,player #1:Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,0.0,24.129,60.861,29.970,MKWC,PEA,0.0,pound,Behavior,stand,None,None,,POINT,2.151,2.151,NA,Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,NA,NA,,,,
EXP-ANV-01-R11__2022-03-06__06-57-49,2023-01-30 10:18:23,corrected by LR,Media file,player #1:Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,0.0,24.129,60.861,29.970,MKWC,PEA,0.0,reposit,Behavior,item,,,,POINT,3.653,3.653,NA,Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,NA,NA,,,,
EXP-ANV-01-R11__2022-03-06__06-57-49,2023-01-30 10:18:23,corrected by LR,Media file,player #1:Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,0.0,24.129,60.861,29.970,MKWC,PEA,0.0,pound,Behavior,stand,None,None,,POINT,4.903,4.903,NA,Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,NA,NA,,,,
EXP-ANV-01-R11__2022-03-06__06-57-49,2023-01-30 10:18:23,corrected by LR,Media file,player #1:Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,0.0,24.129,60.861,29.970,MKWC,PEA,0.0,misstrike,Behavior,itemflies,,,,POINT,4.905,4.905,NA,Y:/capuchin_coiba/working/detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,147,147,,,,
