Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Coder ID,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
CEBUS-02-R11__2022-02-01__18-17-42,2025-03-16 14:57:31,,Media file,player #1:E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,0.0,60.715,60.727,29.970,LR,TER,0.0,seqstart,Sequence info,almendraunknown,,,,POINT,0.000,0.000,NA,E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,0,0,,,,
CEBUS-02-R11__2022-02-01__18-17-42,2025-03-16 14:57:31,,Media file,player #1:E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,0.0,60.715,60.727,29.970,LR,TER,0.0,hammerstone,Sequence info,onanvil,None,e_onanvil,,POINT,0.200,0.200,NA,E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,6,6,,,FRE,
CEBUS-02-R11__2022-02-01__18-17-42,2025-03-16 14:57:31,,Media file,player #1:E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,0.0,60.715,60.727,29.970,LR,TER,0.0,pound,Behavior,stand,1foot,None,,POINT,0.901,0.901,NA,E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,27,27,,,,
CEBUS-02-R11__2022-02-01__18-17-42,2025-03-16 14:57:31,,Media file,player #1:E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,0.0,60.715,60.727,29.970,LR,TER,0.0,reposit,Behavior,item,,,,POINT,5.639,5.639,NA,E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,169,169,,,,
CEBUS-02-R11__2022-02-01__18-17-42,2025-03-16 14:57:31,,Media file,player #1:E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,0.0,60.715,60.727,29.970,LR,TER,0.0,pound,Behavior,stand,"1foot,tailsupport",None,,POINT,7.808,7.808,NA,E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,234,234,,,,
CEBUS-02-R11__2022-02-01__18-17-42,2025-03-16 14:57:31,,Media file,player #1:E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,0.0,60.715,60.727,29.970,LR,TER,0.0,reposit,Behavior,peel,,,,POINT,11.211,11.211,NA,E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,336,336,,,"already eating a bit
",
CEBUS-02-R11__2022-02-01__18-17-42,2025-03-16 14:57:31,,Media file,player #1:E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,0.0,60.715,60.727,29.970,LR,TER,0.0,pound,Behavior,stand,None,None,,POINT,21.321,21.321,NA,E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,639,639,,,,
CEBUS-02-R11__2022-02-01__18-17-42,2025-03-16 14:57:31,,Media file,player #1:E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,0.0,60.715,60.727,29.970,LR,TER,0.0,reposit,Behavior,item,,,,POINT,23.557,23.557,NA,E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,706,706,,,,
CEBUS-02-R11__2022-02-01__18-17-42,2025-03-16 14:57:31,,Media file,player #1:E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,0.0,60.715,60.727,29.970,LR,TER,0.0,pound,Behavior,stand,1foot,None,,POINT,26.260,26.260,NA,E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,787,787,,,,
CEBUS-02-R11__2022-02-01__18-17-42,2025-03-16 14:57:31,,Media file,player #1:E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,0.0,60.715,60.727,29.970,LR,TER,0.0,reposit,Behavior,peel,,,,POINT,31.532,31.532,NA,E:/CEBUS-02-R11_all/CEBUS-02-R11__2022-02-01__18-17-42.MP4,945,945,,,already eating a bit,
